OnePlus 7 Pro,2,118.37,Qualcomm Snapdragon 855," 6 GB, 8 GB, 12 GB","128 GB, 256 GB","3120x1440 6,67""",Android 9.0 Pie,48+8+16 Mpix,4000 mAh," 3 152,00 zł"
Xiaomi Mi 9,4,247.74,Qualcomm Snapdragon 855,"6 GB, 8 GB",128 GB,"2340x1080 6,39""",Android 9.0 Pie,12+48+16 Mpix,3300 mAh," 1 493,00 zł"
Apple iPhone Xs,6,62.93,Apple A12 Bionic,4 GB,"64 GB, 256 GB, 512 GB","2436x1125 5,8""",iOS 12,12+12 Mpix,2658 mAh," 5 694,00 zł"
Sony Xperia 1,8,87.4,Qualcomm Snapdragon 855,6 GB,"64 GB, 128 GB","1644x3840 6,5""",Android 9.0 Pie,12 Mpix,3330 mAh," 3 999,00 zł"
Apple iPhone Xr,10,92.84,Apple A12 Bionic,3 GB,"64 GB, 128 GB, 256 GB","1792x828 6,1""",iOS 12,12 Mpix,2942 mAh," 3 749,00 zł"
Samsung Galaxy S10+,12,108.09,Samsung Exynos 9820,"8 GB, 12 GB","128, 512, 1000 GB","1800x3200 6,4""",Android 9.0 Pie,12+12+16 Mpix,4100 mAh," 3 045,00 zł"
Samsung Galaxy S10,14,88.73,Samsung Exynos 9 9820,8 GB,"128 GB, 512 GB","3040x1440 6,1""",Android 9.0 Pie,12+12+16 Mpix,3300 mAh," 3 669,00 zł"
Huawei Mate 20 X,16,70.95,Huawei Krin 980,"4 GB, 6 GB, 8 GB","128 GB, 256 GB, 512 GB","2244×1080 7,2""",Android 9.0 Pie,20+40+8 Mpix,5000 mAh," 4 255,00 zł"
Honor View 20,18,137.04,Kirin 980,"6 GB, 8 GB","128 GB, 256 GB","2310x1080 6,4""",Android 9.0 Pie,48 Mpix,4000 mAh," 2 184,00 zł"
Huawei P30,20,146.39,Kirin 980,"6 GB, 8 GB",128 GB,"2340x1080 6,1""",Android 9.0 Pie,40+16+8 Mpix,3650 mAh," 2 035,00 zł"
Xiaomi Pocophone F1,22,204.49,Qualcomm Snapdragon 845,"6 GB, 8 GB","64 GB, 128 GB, 256 GB","2246x1080 6,18""",Android 8.1 Oreo,12+5 Mpix,4000 mAh," 1 450,00 zł"
Huawei Mate 20 Pro,24,143.81,Hisilicon Kirin 980,"6 GB, 8 GB","128 GB, 256 GB","3120x1440 6,4""",Android 9.0,40+20+8 Mpix,4200 mAh," 2 059,00 zł"
Asus ROG Phone,26,99.34,Qualcomm Snapdragon 845,8 GB,"128 GB, 512 GB","2160x1080 6,0""",Android 8.1 Oreo,12+8 Mpix,4000 mAh," 2 969,00 zł"
OnePlus 6T,28,150.63,Qualcomm Snapdragon 845,"6 GB, 8 GB","128 GB, 256 GB","2340x1080 6,41""", Android 9.0 Pie,16+20 Mpix,3700 mAh," 1 949,00 zł"
OnePlus 6,30,153.79,Qualcomm Snapdragon 845,"6 GB, 8 GB","64 GB, 128 GB, 256 GB","2280x1080 6,28""",Android 8.1 Oreo,16+20 Mpix,3300 mAh," 1 899,00 zł"
Xiaomi Mi 8 Pro,32,205.26,Qualcomm Snapdragon 845,"6 GB, 8 GB",128 GB,"2248x1080 6,21""",Android 8.1 Oreo,12+12 Mpix,3000 mAh," 1 399,00 zł"
Meizu 16th,34,143.25,Qualcomm Snapdragon 845,"6 GB, 8 GB","64 GB, 128 GB, 256 GB","2160x1080 6,0""",Android 8.0 Oreo,12+20 Mpix,3010 mAh," 1 999,00 zł"
Razer Phone 2,36,121.09,Qualcomm Snapdragon 845,8 GB,"64 GB, 128 GB","2560x1440 5,72""",Android 8.1 Oreo,12+12 Mpix,4000 mAh," 2 349,00 zł"
Google Pixel 3 XL,38,91.55,Qualcomm Snapdragon 845,4 GB,"64 GB, 128 GB","2960x1440 6,3""",Android 9.0 Pie,12 Mpix,3430 mAh," 3 064,00 zł"
LG V40 ThinQ ,40,106.82,Qualcomm Snapdragon 845,6 GB,"64 GB, 128 GB","3120x1440 6,4""",Android 8.1 Oreo,12+16+12 Mpix,3300 mAh," 2 536,00 zł"
LG G7 ThinQ,42,159.06,Qualcomm Snapdragon 845,4 GB,64 GB,"1440x3120 6,1""",Android 8.0 Oreo,16+16 Mpix,3000 mAh," 1 674,00 zł"
Sony XZ2 Premium,44,118.78,Qualcomm Snapdragon 845,6 GB,64 GB,"3840x2160 5,8""",Android 8.0 Oreo,19+12 Mpix,3540 mAh," 2 185,00 zł"
Apple iPhone X,46,60.49,Apple A11,3 GB,"64 GB, 256 GB"," 2436x1125 5,0""",iOS 11,12+12 Mpix,2716 mAh," 4 117,00 zł"
Apple iPhone 8 Plus,48,70.55,Apple A11,2 GB,"64 GB, 256 GB"," 1920x1080 5,5""",iOS 11,12+12 Mpix,2675 mAh," 3 479,00 zł"
Apple iPhone 8,50,81.27,Apple A11,2 GB,"64 GB, 256 GB"," 1334x750 4,7""",iOS 11,12 Mpix,1821 mAh," 2 899,00 zł"
Nokia 8,52,81.84,Qualcomm Snapdragon 835 8998,"4 GB, 6 GB","64 GB, 128 GB","2560x1440 5,3""",Android 7.1 Nougat,13 Mpx,3090 mAh," 2 569,00 zł"
Huawei Honor View 10,54,122.07,Kirin 970,"4 GB, 6 GB","64 GB, 128 GB","2160x1080 6,0""",Android 8.0 Oreo,20+16 Mpix,3750 mAh," 1 707,00 zł"
Samsung Galaxy A80,56,89.89,Samsung Snapdragon 730,8 GB,128 GB,"1080x2400 6,7""",Android 9.0 Pie,48+8 Mpix,3700 mAh," 2 299,00 zł"
Google Pixel 2 XL,58,118.93,Qualcomm Snapdragon 835 8998,4 GB,"64 GB, 128 GB","2880x1440 6,0""",Android 8.0 Oreo,12 Mpix,3520 mAh," 1 707,00 zł"
Huawei P20 Pro,60,109.16,Kirin 970,6 GB,"64 GB, 128 GB, 256 GB","2280x1080 6,1""",Android 8.0 Oreo,40+20+8 Mpix,4000 mAh," 1 835,00 zł"
Samsung Galaxy S8 (8895),62,57.85,Samsung Exynos 8895,4 GB,64 GB,"2960x1440 5,8""",Android 7.0 Nougat,12 Mpix,3000 mAh," 3 398,00 zł"
Huawei P20,64,124.53,Kirin 970,4 GB,"64 GB, 128 GB","2280x1080 5,8""",Android 8.0 Oreo,20+12 Mpix,3400 mAh," 1 529,00 zł"
Samsung Galaxy S8+ (8895),66,82.03,Samsung Exynos 8895,4 GB,64 GB," 2960x1440 6,2""",Android 7.0 Nougat,12 Mpix,3500 mAh," 2 299,00 zł"
Xiaomi Mi 9 SE,68,137.96,Snapdragon 712,6 GB," 64 GB, 128 GB","2340x1080 5,97""",Android 9.0 Pie,48+13+8 Mpix,3070 mAh," 1 319,00 zł"
HTC U11,70,100.11,Qualcomm Snapdragon 835,"4 GB, 6 GB","64 GB, 128 GB","2560x1440 5,5""",Android 7.0 Nougat,12 Mpix,3000 mAh," 1 799,00 zł"
Xiaomi Redmi Note 7 Pro,72,171.78,Qualcomm 675 Octa Core 2.0GHz,"4 GB, 6 GB","64 GB, 128 GB","2340x1080 6,3""",Android 9.0 Pie,48+5 Mpix,3900 mAh," 1 039,00 zł"
Lenovo Z6 Lite,74,188.57,Qualcomm Snapdragon 710,"4 GB, 6 GB","64 GB, 128 GB","2340x1080 6,3""",Android 9.0 Pie,16+8+5 Mpix,4050 mAh," 916,00 zł"
Nokia 8.1,76,99.07,Qualcomm Snapdragon 710,"4 GB, 6 GB","64 GB, 128 GB","2246x1080 6,18""",Android 9.0 Pie,12+13 Mpix,3500 mAh," 1 727,00 zł"
Samsung Galaxy A60,78,115.58,Qualcomm Snapdragon 675,"6 GB, 8 GB","64 GB, 128 GB","2340x1080 6,3""",Android 9.0 Pie,32+8+5 Mpix,3500 mAh," 1 465,00 zł"
Meizu 16X,80,208.66,Qualcomm Snapdragon 710,6 GB,"64 GB, 128 GB","2160x1080 6,0""",Android 8.1 Oreo,20+12 Mpix,3010 mAh," 799,00 zł"
Meizu X8,82,181.78,Qualcomm Snapdragon 710,"4 GB, 6 GB"," 64 GB, 128 GB","2220x1080 6,1""",Android 8.1 Oreo,12+5 Mpix,3210 mAh," 899,00 zł"
Samsung Galaxy S7,84,115.6,Samsung Exynos 8890,4 GB,32 GB," 2560x1440 5,1""",Android 6.0 Marshmallow,12 Mpix,3000 mAh," 1 373,00 zł"
Google Pixel 3a,86,88.14,Qualcomm Snapdragon 670,4 GB,64 GB,"2220x1080 5,6""",Android 9.0 Pie,"12,2 Mpix",3000 mAh," 1 792,00 zł"
OPPO RX17 Pro,88,71.41,Qualcomm Snapdragon 710,6 GB,128 GB,"2340x1080 6,4""",Android 8.1 Oreo,12+20 Mpix,3700 mAh," 2 199,00 zł"
Apple iPhone 6s,90,122.79,Apple A9,2 GB,64 GB," 1334x750 4,7""",iOS 9,12 Mpix,1715 mAh," 1 239,00 zł"
Apple iPhone SE,92,126.51,Apple A9,2 GB,"16, 32, 64, 128 GB"," 1136x640 4,0""",iOS 9.3,12 Mpix,1642 mAh," 1 195,00 zł"
Motorola One Vision Vision,94,130,Samsung Exynos 9609,4 GB,128 GB,"2520x1080 6,3""",Android 9.0 Pie,48+5 Mpix,3500 mAh," 1 126,00 zł"
Xiaomi Mi 8 Lite,96,161.7,Qualcomm Snapdragon 660,"4 GB, 6 GB, 8 GB","32 GB, 64 GB, 128 GB","2248x1080 6,26""",Android 8.0 Oreo,12+5 Mpix,3350 mAh," 892,00 zł"
Samsung Galaxy A50,98,121.56,Samsung Exynos 9610,"4 GB, 6 GB","64 GB, 128 GB","2340x1080 6,4""",Android 9.0 Pie,15+5+8 Mpix,4000 mAh," 1 177,00 zł"
Ulefone Armor 6E,100,161.13,MediaTek Helio P70 MT6771T,4 GB,64 GB,"2246x1080 6,2""",Android 9.0 Pie,16+2 Mpix,5000 mAh," 883,00 zł"
Honor 8X,102,164.38,HiSilicon Kirin 710,"4 GB, 6 GB","64 GB, 128 GB","2340x1080 6,5""",Android 8.0 Oreo,20+2 Mpix,3750 mAh," 856,00 zł"
Xiaomi Mi A3,104,163.68,Qualcomm Snapdragon 665,4 GB,"64 GB, 128 GB","1560×720 6,09""",Android 9.0 Pie,48+8+5 Mpix,4030 mAh," 859,00 zł"
Asus Zenfone 5 ZE620KL,106,121.12,Qualcomm Snapdragon 636,4 GB,"4 GB, 6 GB","2246x1080 6,2""",Android 8.0 Oreo,12+8 Mpix,3300 mAh," 1 149,00 zł"
Samsung A9 2018 (A920F),108,98.97,Qualcomm Snapdragon 660,"6 GB, 8 GB",128 GB,"2220x1080 6,3""",Android 8.0 Oreo,24+10+8+5 Mpix,3720 mAh," 1 395,00 zł"
Ulefone Armor 6 (wzmocniony),110,92.27,MediaTek Helio P60 MT6771,6 GB,128 GB,"1080x2246 6,2""",Android 8.1 Oreo,16+8 Mpix,5000 mAh," 1 479,00 zł"
Sony Xperia XZs,112,96.5,Qualcomm Snapdragon 820 8996,4 GB,32 GB,"1920×1080 5,2""",Android 7.1,19 Mpix,2900 mAh," 1 399,00 zł"
HUAWEI P30 Lite,114,115.64,HiSilicon Kirin 710,"4 GB, 6 GB",128 GB,"1080x2340 6,15""",Android 9.0 Pie,48+8+2 Mpix,3340 mAh," 1 159,00 zł"
OPPO RX17 Neo,116,132.81,Qualcomm Snapdragon 660,"4 GB, 6 GB","64 GB, 128 GB","2340x1080 6,41""",Android 8.1 Oreo,16+2 Mpix,3600 mAh," 999,00 zł"
Honor 20 Lite,118,149.45,Kirin 710,4 GB,128 GB,"2340x1080 6,21""",Android 9.0 Pie,24 Mpix,3400 mAh," 879,00 zł"
Huawei P9,120,148.43,HiSilicon Kirin 955,"3 GB, 4 GB","32 GB, 64 GB"," 1920x1080 5,2""",Android 6.0 Marshmallow,12 Mpix,3000 mAh," 849,00 zł"
Asus ZenFone 4,122,174.21,Qualcomm Snapdragon 630,"4 GB, 6 GB",64 GB,"1920x1080 5,5""",Android 7.0 Nougat,12+8 Mpix,3300 mAh," 699,00 zł"
Samsung Galaxy A7 2018,124,120.38,Samsung Exynos 7885,"4 GB, 6 GB","64 GB, 128 GB","2220x1080 6,0""",Android 8.0 Oreo,5+8+24 Mpix,3300 mAh," 999,00 zł"
Xiaomi Mi Max 3,126,125.09,Qualcomm Snapdragon 636,"4 GB, 6 GB","64 GB, 128 GB","2160x1080 6,9""",Android 8.1 Oreo,12+5 Mpix,5500 mAh," 955,00 zł"
Samsung Galaxy S6 Edge G925,128,34.69,Samsung Exynos 7420,3 GB,32 GB," 2560x1440 5,1""",Android 5.0 Lollipop,16 Mpix,2600 mAh," 3 394,00 zł"
Nokia 7.1,130,90.43,Qualcomm Snapdragon 636,"3 GB, 4 GB","32 GB, 64 GB","2244x1080 5,84""",Android 8.1 Oreo,12+5 Mpix,3060 mAh," 1 299,00 zł"
